4.0,963.0
4.0,1264.0
4.0,596.0
4.0,4397.0
4.0,793.0
5.0,570.0
5.0,2348.0
5.0,4001.0
5.0,111.0
5.0,3915.0
5.0,1604.0
12.0,43.0
12.0,3436.0
12.0,2306.0
12.0,2015.0
12.0,2318.0
12.0,2468.0
12.0,1970.0
12.0,3072.0
12.0,3758.0
12.0,904.0
12.0,2283.0
12.0,636.0
12.0,1444.0
12.0,1750.0
12.0,784.0
12.0,2388.0
12.0,1455.0
12.0,2285.0
12.0,4078.0
12.0,4331.0
12.0,656.0
12.0,2922.0
12.0,4491.0
12.0,3271.0
12.0,670.0
12.0,1784.0
12.0,4105.0
12.0,913.0
12.0,1791.0
12.0,1217.0
12.0,3021.0
12.0,1802.0
12.0,1501.0
12.0,3830.0
12.0,1397.0
12.0,111.0
12.0,1822.0
12.0,107.0
12.0,2408.0
12.0,109.0
12.0,1523.0
12.0,408.0
12.0,3521.0
12.0,402.0
12.0,3855.0
12.0,1254.0
12.0,3452.0
12.0,2432.0
12.0,1264.0
12.0,434.0
12.0,3592.0
12.0,4397.0
12.0,4289.0
12.0,1026.0
12.0,1571.0
12.0,4190.0
12.0,2751.0
12.0,1585.0
12.0,1294.0
12.0,2032.0
12.0,1297.0
12.0,3178.0
12.0,4208.0
12.0,2475.0
12.0,2480.0
12.0,182.0
12.0,623.0
12.0,1376.0
12.0,499.0
12.0,1565.0
12.0,2491.0
12.0,105.0
12.0,4238.0
12.0,1861.0
12.0,2506.0
12.0,203.0
12.0,2218.0
12.0,1535.0
12.0,527.0
12.0,3078.0
12.0,809.0
12.0,536.0
12.0,1958.0
12.0,2359.0
12.0,1890.0
12.0,837.0
12.0,982.0
12.0,1540.0
12.0,1114.0
12.0,2839.0
12.0,3122.0
12.0,570.0
12.0,4001.0
12.0,2278.0
12.0,3252.0
12.0,4596.0
12.0,2046.0
12.0,1695.0
19.0,2701.0
19.0,367.0
19.0,3630.0
19.0,562.0
31.0,1802.0
31.0,2506.0
31.0,1750.0
40.0,427.0
40.0,2506.0
40.0,1501.0
40.0,1351.0
40.0,182.0
43.0,203.0
43.0,2865.0
43.0,68.0
43.0,3758.0
43.0,4208.0
43.0,2218.0
43.0,2475.0
43.0,1444.0
43.0,636.0
43.0,4142.0
43.0,4105.0
43.0,1523.0
43.0,570.0
43.0,1977.0
43.0,4001.0
43.0,3072.0
43.0,1397.0
43.0,3078.0
43.0,2491.0
43.0,1476.0
43.0,1802.0
43.0,1061.0
43.0,3719.0
434.0,1977.0
68.0,2865.0
68.0,1143.0
68.0,2468.0
68.0,2847.0
68.0,2388.0
68.0,1526.0
