id,days,mature,views,partner,new_id,username
37905227,2149,True,162078,False,5079,streat
63102384,1574,True,1370,False,4281,iviorph
109414094,1034,True,6043,False,992,skixs
84163849,1319,True,94298,True,9021,thekraeuterbutter
38240837,2137,True,2323,False,330,330
75568017,1411,True,807,False,2833,abatti
38019892,2145,False,43650,False,5069,spatosmg
101004172,1137,False,27815,False,7798,mita010
212738936,187,True,2356,False,5109,hardydigital
36580131,2196,True,8723,False,410,ozomalp
110456538,1020,False,1907,False,6812,6812
36206624,2213,False,1635,False,8219,otaku_herz
79794063,1367,True,16344,False,2265,2265
78873021,1377,True,24703,False,1520,yannusi
141856928,659,True,1985,False,2422,jazzylutz
110317582,1024,False,17344,False,4672,4672
82594934,1337,True,47164,False,1821,todesberg
41411015,2012,False,7186,False,7664,7664
81214021,1352,True,4654,False,8566,nauti27
32311281,2271,True,4156,False,1152,sayavt
67976647,1532,False,3283,False,9140,dayorki
113836316,971,True,1039,False,156,d4nkstone
38922970,2111,False,3044020,True,6193,sephiron
56018264,1676,False,1410,False,786,amanotc
46371860,1909,False,20661,False,2905,talladir
30628039,2334,True,2685,False,9406,gldnroostr
105175998,1053,False,247,False,3997,ynwainsomnia
11544057,3113,False,4909,False,7661,syrael
77197496,1398,True,603987,True,7091,harald_van_horn
126366875,855,True,1679,False,6350,toastbrot_____
45269637,1933,False,2557429,True,364,june
47329829,1870,False,21837,False,7295,andy_sun
65541964,1562,True,11770,False,3364,nervrock_ger
87334627,1286,False,3311,False,4456,dropwell_tv
61893349,1626,True,182875,True,6200,exidus
22760096,2684,True,5489,False,1543,ripperat
48040541,1875,False,79676,False,1512,paulterra94
80486801,1360,True,9102,False,4846,ngn624
120056949,926,True,10539,False,7776,derjan89
94456184,1205,False,387,False,1388,phimocs
47828062,1843,False,17034,False,1803,cherrytree5
40214830,2070,True,50997,True,4788,luckaffe
21063961,2771,False,814883,False,5923,bloodygood
36550698,2200,True,9008,False,143,enigma9n
152585009,550,True,324,False,2775,ideadpoolq
68459472,1524,False,2444,False,5656,5656
42567425,1988,False,2782,False,1019,necrotizergaming
42075445,2012,False,3447,False,764,nexgam_civilization
28892026,2406,True,9707,False,3960,schiggy_top
110651185,1016,False,5529,False,5644,reallombi
174266671,364,True,2188,False,3635,3635
79141806,1374,True,10000,False,3986,black3vil5tar
43995312,1960,True,2495,False,2430,dex_vt
95563292,1192,True,24659,False,2991,beatdan1_
31649983,2294,False,14085,False,7095,uber_dragon
121766409,908,False,626,False,299,fabson_live
182477479,294,False,2898,False,4999,u_genius_
172747892,395,False,10836,False,6448,mahoni257
110604320,1019,True,7253,False,4736,schaggsen
108282326,1044,True,6889,False,3631,break83
153047400,543,True,4206,False,5830,reaxysr6s
62769300,1608,False,179574,True,6926,exsy
25001194,2576,False,31474,False,9002,keepro
83592002,1327,True,20343,False,466,kalibahproductions
123459985,891,True,3093,False,4295,4295
111145234,1014,False,3172,False,9451,kleinstormtv
80546445,1359,True,26661,False,1533,davogtv
72929915,1444,True,3110,False,2686,xiiinox
80181911,1359,True,1021,False,8616,evermore_secret
109577723,1031,False,12562,False,876,silent_pine
63388314,1596,True,284253,True,3450,moepi
98400192,1161,True,20519,False,8166,kranee_
25205727,2559,True,18084,False,4014,andoreen
116190111,966,False,2718,False,833,aznzockt
126335595,848,False,805,False,8591,whitessoulss
148308708,599,False,11199,False,2526,bvbdortmundgirl
86979504,1292,False,1729,False,7550,esbofination
57105416,1693,True,4044,False,4040,mcsuko
64224380,1580,True,3765,False,8931,8931
171559279,412,True,6562,False,8293,p_ara_noi_d
93335185,1158,True,722,False,3380,paingamestv
102666832,1118,False,146,False,6673,izzy38x
30503729,2336,True,8560,False,7462,7462
119028537,937,True,4646,False,8719,missvorhees
139959265,691,True,9984,False,5658,bllllman
65681931,1558,True,2139,False,8534,miaegal22
141743566,670,True,3732,False,3155,daywalkr1990
128419384,829,True,330,False,8808,gnerox
49725668,1835,True,1369,False,129,syxxer84
84603957,1315,False,3051546,True,8397,musclebrahtv
86135695,1296,True,8526,False,7808,apesgaming
74668105,1332,False,1748,False,2571,drscrabble
